avg_loss,avg_hr,avg_ndcg,drift_events,round
6.73566621358337,0.35200000000000004,0.17434796501418265,[],1
2813.483084302633,0.32199999999999995,0.16038844780746114,[],2
2061019.4099481865,0.174,0.07999948834738999,[],3
3171798784.62096,0.123,0.05252426148738989,[],4
18018708919293.953,0.04700000000000001,0.021993130985646068,[],5
3.038337497357267e+17,0.048,0.01878995035667453,[],6
9.02117774656103e+22,0.024,0.009400591192873274,[],7
2.5516096377994195e+27,0.024,0.010525555456157326,[],8
7.569570332525177e+31,0.032,0.013496888428811407,[],9
inf,0.023,0.010437789814139429,[],10
